id_equip_urbano,id_espacio,ambito,condicion,geografico,tipo,nombre
6260,5806,Urbana,En Operación,Escuela,Mixto,Instituto Isabel Grasseteau AC
6261,3294,Urbana,En Operación,Escuela,Secundaria,Justo Sierra
6262,3295,Urbana,En Operación,Escuela,Medio Superior,Justo Sierra
6263,5753,Urbana,En Operación,Templo,No Aplica,Iglesia Adventista del Séptimo Día Monumento
6264,473,Urbana,En Operación,Templo,No Aplica,Iglesía Espiritualista del Medio Día
6265,5795,Urbana,En Operación,Escuela,Preescolar,Estancia para el Bienestar y Desarrollo Infantil 56
6266,5796,Urbana,En Operación,Escuela,Preescolar,Amparo Solis Payan
6267,5766,Urbana,En Operación,Escuela,Primaria,Maestro Julian Carrillo
6268,5767,Urbana,En Operación,Templo,No Aplica,Congregación Cristiana La Familia de Dios
6269,5783,Urbana,En Operación,Escuela,Medio Superior,Centro de Capacitación para el Trabajo Industrial Número 158
6270,1932,Urbana,En Operación,Escuela,Preescolar,Jaime Nunó
6271,3340,Urbana,En Operación,Instalación Deportiva o Recreativa,Parque,Plaza Los Ángeles
6272,4571,Urbana,En Operación,Escuela,Mixto,Bertha Von Glümer
6273,480,Urbana,En Operación,Templo,No Aplica,"Templo Jerusalem
"
6274,2964,Urbana,No Aplica,Mercado,No Aplica,Mercado Roma
6275,2089,Urbana,En Operación,Escuela,Preescolar,Guarderia Infantil 003 IMSS
6276,8198,Urbana,En Operación,Escuela,Mixto,Kent Condesa
6277,8191,Urbana,En Operación,Escuela,Primaria,Asilo Primavera
6278,8192,Urbana,En Operación,Centro de Asistencia Médica,Centro de Salud,Centro de Salud T-III Dr. Ángel Brioso Vasconcelos
6279,5252,Urbana,En Operación,Instalación Diversa,Teatro,Teatro de la Ciudad
6280,7505,Urbana,En Operación,Templo,No Aplica,Capilla Nuestra Señora del Pilar
6281,3352,Urbana,En Operación,Escuela,Primaria,Escuela Primaria Rodolfo Menéndez
6282,504,Urbana,En Operación,Escuela,Primaria,Republica de Panamá
6283,3353,Urbana,En Operación,Escuela,Mixto,Escuela Nacional de Ciegos Lic. Ignacio Trigueros
6284,2286,Urbana,En Operación,Centro de Asistencia Médica,Centro de Salud,Hospital Jesús Medico
6285,7506,Urbana,En Operación,Instalación Diversa,Centro de Espectáculos,Arena Coliseo
6286,6252,Urbana,En Operación,Escuela,Preescolar,Miguel E. Schultz
6287,517,Urbana,No Aplica,Plaza,No Aplica,Jardin Tabacalera
6288,474,Urbana,En Operación,Centro Comercial,No Aplica,Puerta Tlatelolco
6289,490,Urbana,En Operación,Escuela,Primaria,ISSSTE Manuel González
6290,491,Urbana,En Operación,Instalación Diversa,Teatro,Félix Azuela Padilla
6291,492,Urbana,En Operación,Instalación Deportiva o Recreativa,Unidad Deportiva,Deportivo Félix Azuela
6292,7442,Urbana,En Operación,Instalación Deportiva o Recreativa,Unidad Deportiva,Fray Bartolome de las Casas
6293,7523,Urbana,En Operación,Templo,No Aplica,Catedral Maronita de México
6294,3695,Urbana,En Operación,Escuela,Mixto,Instituto Pedagógico Anglo Español
6295,3696,Urbana,En Operación,Escuela,Mixto,Instituto Tecnológico Roosevelt
