cve_est,id_espacio,sistema,tipo,linea,anio_apertura,num_estacion,nombre,cantidad_transbordos_metro,cantidad_transbordos_metrobus
STC0505,356,STC Metro,Intermedia,L5,1982,5,Misterios,0,1
STC0506,357,STC Metro,Intermedia,L5,1982,6,Valle Gómez,0,0
STC0507,358,STC Metro,Transbordo,L5,1981,7,Consulado,0,0
STC0508,359,STC Metro,Intermedia,L5,1981,8,Eduardo Molina,0,0
STC0509,360,STC Metro,Intermedia,L5,1981,9,Aragón,0,0
STC0510,361,STC Metro,Transbordo,L5,1981,10,Oceanía,0,0
STC0511,362,STC Metro,Intermedia,L5,1981,11,Terminal Aérea,0,0
STC0512,363,STC Metro,Intermedia,L5,1981,12,Hangares,0,0
STC0513,364,STC Metro,Terminal / Transbordo,L5,1981,13,Pantitlán,3,1
STC0601,365,STC Metro,Terminal / Transbordo,L6,1983,1,El Rosario,1,1
STC0602,366,STC Metro,Intermedia,L6,1983,2,Tezozómoc,0,0
STC0603,367,STC Metro,Intermedia,L6,1983,3,UAM-Azcapotzalco,0,0
STC0604,368,STC Metro,Intermedia,L6,1983,4,Ferrería/Arena Ciudad de México,0,0
STC0605,369,STC Metro,Intermedia,L6,1983,5,Norte 45,0,0
STC0606,370,STC Metro,Intermedia,L6,1983,6,Vallejo,0,0
STC0607,371,STC Metro,Transbordo,L6,1983,7,Instituto del Petróleo,1,1
STC0608,372,STC Metro,Intermedia,L6,1986,8,Lindavista,0,0
STC0609,373,STC Metro,Transbordo,L6,1986,9,Deportivo 18 de Marzo,1,3
STC0610,374,STC Metro,Intermedia,L6,1986,10,La Villa/Basílica,0,0
STC0611,375,STC Metro,Terminal / Transbordo,L6,1986,11,Martín Carrera,1,1
STC0701,376,STC Metro,Terminal / Transbordo,L7,1988,1,El Rosario,1,1
STC0702,377,STC Metro,Intermedia,L7,1988,2,Aquiles Serdán,0,0
STC0703,378,STC Metro,Intermedia,L7,1988,3,Camarones,0,0
STC0704,379,STC Metro,Intermedia,L7,1988,4,Refinería,0,0
STC0705,380,STC Metro,Transbordo,L7,1984,5,Tacuba,0,0
STC0706,381,STC Metro,Intermedia,L7,1984,6,San Joaquín,0,0
STC0707,382,STC Metro,Intermedia,L7,1984,7,Polanco,0,0
STC0708,383,STC Metro,Intermedia,L7,1984,8,Auditorio,0,1
STC0709,384,STC Metro,Intermedia,L7,1985,9,Constituyentes,0,0
STC0710,385,STC Metro,Transbordo,L7,1985,10,Tacubaya,2,1
STC0711,386,STC Metro,Intermedia,L7,1985,11,San Pedro de los Pinos,0,0
STC0712,387,STC Metro,Intermedia,L7,1985,12,San Antonio,0,0
STC0713,388,STC Metro,Transbordo,L7,1985,13,Mixcoac,0,0
STC0714,389,STC Metro,Terminal,L7,1985,14,Barranca del Muerto,0,0
STC0801,390,STC Metro,Terminal / Transbordo,L8,1994,1,Garibaldi/Lagunilla,1,1
STC0802,391,STC Metro,Transbordo,L8,1994,2,Bellas Artes,1,1
STC0803,392,STC Metro,Intermedia,L8,1994,3,San Juan de Letrán,0,0
STC0804,393,STC Metro,Transbordo,L8,1994,4,Salto del Agua,0,0
STC0805,394,STC Metro,Intermedia,L8,1994,5,Doctores,0,0
STC0806,395,STC Metro,Intermedia,L8,1994,6,Obrera,0,0
STC0807,396,STC Metro,Transbordo,L8,1994,7,Chabacano,0,0
STC0808,397,STC Metro,Intermedia,L8,1994,8,La Viga,0,0
STC0809,398,STC Metro,Transbordo,L8,1994,9,Santa Anita,0,0
STC0810,399,STC Metro,Intermedia,L8,1994,10,Coyuya,0,2
STC0811,400,STC Metro,Intermedia,L8,1994,11,Iztacalco,0,0
STC0812,401,STC Metro,Intermedia,L8,1994,12,Apatlaco,0,1
STC0813,402,STC Metro,Intermedia,L8,1994,13,Aculco,0,1
STC0814,403,STC Metro,Intermedia,L8,1994,14,Escuadrón 201,0,1
STC0815,404,STC Metro,Transbordo,L8,1994,15,Atlalilco,0,0
STC0816,405,STC Metro,Intermedia,L8,1994,16,Iztapalapa,0,0
STC0817,406,STC Metro,Intermedia,L8,1994,17,Cerro de la Estrella,0,0
STC0818,407,STC Metro,Intermedia,L8,1994,18,UAM-I,0,0
STC0819,408,STC Metro,Terminal,L8,1994,19,Constitución de 1917,0,0
STC0901,409,STC Metro,Terminal / Transbordo,L9,1987,1,Pantitlán,3,1
STC0902,410,STC Metro,Intermedia,L9,1987,2,Puebla,0,0
STC0903,411,STC Metro,Intermedia,L9,1987,3,Ciudad Deportiva,0,0
STC0904,412,STC Metro,Intermedia,L9,1987,4,Velódromo,0,0
STC0905,413,STC Metro,Intermedia,L9,1987,5,Mixiuhca,0,1
STC0906,414,STC Metro,Transbordo,L9,1987,6,Jamaica,0,0
STC0907,415,STC Metro,Transbordo,L9,1987,7,Chabacano,0,0
STC0908,416,STC Metro,Intermedia,L9,1987,8,Lázaro Cárdenas,0,0
STC0909,417,STC Metro,Transbordo,L9,1987,9,Centro Médico,1,1
STC0910,418,STC Metro,Intermedia,L9,1988,10,Chilpancingo,0,1
STC0911,419,STC Metro,Intermedia,L9,1988,11,Patriotismo,0,1
STC0912,420,STC Metro,Terminal / Transbordo,L9,1988,12,Tacubaya,2,1
STC1201,421,STC Metro,Terminal,L12,2012,1,Tláhuac,0,0
STC1202,422,STC Metro,Intermedia,L12,2012,2,Tlaltenco,0,0
STC1203,423,STC Metro,Intermedia,L12,2012,3,Zapotitlán,0,0
STC1204,424,STC Metro,Intermedia,L12,2012,4,Nopalera,0,0
STC1205,425,STC Metro,Intermedia,L12,2012,5,Olivos,0,0
STC1206,426,STC Metro,Intermedia,L12,2012,6,Tezonco,0,0
STC1207,427,STC Metro,Intermedia,L12,2012,7,Periférico Oriente,0,0
STC1208,428,STC Metro,Intermedia,L12,2012,8,Calle 11,0,0
STC1209,429,STC Metro,Intermedia,L12,2012,9,Lomas Estrella,0,0
STC1210,430,STC Metro,Intermedia,L12,2012,10,San Andrés Tomatlán,0,0
STC1211,431,STC Metro,Intermedia,L12,2012,11,Culhuacán,0,0
STC1212,432,STC Metro,Transbordo,L12,2012,12,Atlalilco,0,0
STC1213,433,STC Metro,Intermedia,L12,2012,13,Mexicaltzingo,0,0
STC1214,434,STC Metro,Transbordo,L12,2012,14,Ermita,0,0
STC1215,435,STC Metro,Intermedia,L12,2012,15,Eje Central,0,0
STC1216,436,STC Metro,Intermedia,L12,2012,16,Parque de los Venados,0,0
STC1217,437,STC Metro,Transbordo,L12,2012,17,Zapata,0,0
STC1218,438,STC Metro,Intermedia,L12,2012,18,Hospital 20 de Noviembre,0,0
STC1219,439,STC Metro,Intermedia,L12,2012,19,Insurgentes Sur,0,1
STC1220,440,STC Metro,Terminal / Transbordo,L12,2012,20,Mixcoac,0,0
STCLA01,441,STC Metro,Terminal / Transbordo,LA,1991,1,Pantitlán,3,1
STCLA02,442,STC Metro,Intermedia,LA,1991,2,Agrícola Oriental,0,0
STCLA03,443,STC Metro,Intermedia,LA,1991,3,Canal de San Juan,0,0
STCLA04,444,STC Metro,Intermedia,LA,1991,4,Tepalcates,0,1
STCLA05,445,STC Metro,Intermedia,LA,1991,5,Guelatao,0,0
STCLA06,446,STC Metro,Intermedia,LA,1991,6,Peñón Viejo,0,0
STCLA07,447,STC Metro,Intermedia,LA,1991,7,Acatitla,0,0
STCLA08,448,STC Metro,Intermedia,LA,1991,8,Santa Marta,0,0
STCLB01,449,STC Metro,Terminal,LB,1999,1,Buenavista,0,3
STCLB02,450,STC Metro,Transbordo,LB,1999,2,Guerrero,1,1
STCLB03,451,STC Metro,Transbordo,LB,1999,3,Garibaldi/Lagunilla,1,1
STCLB04,452,STC Metro,Intermedia,LB,1999,4,Lagunilla,0,0
STCLB05,453,STC Metro,Intermedia,LB,1999,5,Tepito,0,0
STCLB06,454,STC Metro,Transbordo,LB,1999,6,Morelos,0,0
STCLB07,455,STC Metro,Transbordo,LB,1999,7,San Lázaro,1,2
STCLB08,456,STC Metro,Intermedia,LB,1999,8,Ricardo Flores Magón,0,0
STCLB09,457,STC Metro,Intermedia,LB,1999,9,Romero Rubio,0,0
STCLB10,458,STC Metro,Transbordo,LB,1999,10,Oceanía,0,0
STCLB11,459,STC Metro,Intermedia,LB,1999,11,Deportivo Oceanía,0,0
STCLB12,460,STC Metro,Intermedia,LB,1999,12,Bosque de Aragón,0,0
STCLB13,461,STC Metro,Intermedia,LB,1999,13,Villa de Aragón,0,1
