id_tiempo,anio,trimestre,mes,semana_mes,semana_anio,dia_semana,dia,hora,minuto
200512139999,2005,4,12,3,50,Martes,13,99,99
200512149999,2005,4,12,3,50,Miércoles,14,99,99
200512159999,2005,4,12,3,50,Jueves,15,99,99
200512169999,2005,4,12,3,50,Viernes,16,99,99
200512179999,2005,4,12,3,50,Sábado,17,99,99
200512189999,2005,4,12,3,50,Domingo,18,99,99
200512199999,2005,4,12,4,51,Lunes,19,99,99
200512209999,2005,4,12,4,51,Martes,20,99,99
200512219999,2005,4,12,4,51,Miércoles,21,99,99
200512229999,2005,4,12,4,51,Jueves,22,99,99
200512239999,2005,4,12,4,51,Viernes,23,99,99
200512249999,2005,4,12,4,51,Sábado,24,99,99
200512259999,2005,4,12,4,51,Domingo,25,99,99
200512269999,2005,4,12,5,52,Lunes,26,99,99
200512279999,2005,4,12,5,52,Martes,27,99,99
200512289999,2005,4,12,5,52,Miércoles,28,99,99
200512299999,2005,4,12,5,52,Jueves,29,99,99
200512309999,2005,4,12,5,52,Viernes,30,99,99
200512319999,2005,4,12,5,52,Sábado,31,99,99
200601019999,2006,1,1,1,52,Domingo,1,99,99
200601029999,2006,1,1,2,1,Lunes,2,99,99
200601039999,2006,1,1,2,1,Martes,3,99,99
200601049999,2006,1,1,2,1,Miércoles,4,99,99
200601059999,2006,1,1,2,1,Jueves,5,99,99
200601069999,2006,1,1,2,1,Viernes,6,99,99
200601079999,2006,1,1,2,1,Sábado,7,99,99
200601089999,2006,1,1,2,1,Domingo,8,99,99
200601099999,2006,1,1,3,2,Lunes,9,99,99
200601109999,2006,1,1,3,2,Martes,10,99,99
200601119999,2006,1,1,3,2,Miércoles,11,99,99
200601129999,2006,1,1,3,2,Jueves,12,99,99
200601139999,2006,1,1,3,2,Viernes,13,99,99
200601149999,2006,1,1,3,2,Sábado,14,99,99
200601159999,2006,1,1,3,2,Domingo,15,99,99
200601169999,2006,1,1,4,3,Lunes,16,99,99
200601179999,2006,1,1,4,3,Martes,17,99,99
200601189999,2006,1,1,4,3,Miércoles,18,99,99
200601199999,2006,1,1,4,3,Jueves,19,99,99
200601209999,2006,1,1,4,3,Viernes,20,99,99
200601219999,2006,1,1,4,3,Sábado,21,99,99
200601229999,2006,1,1,4,3,Domingo,22,99,99
200601239999,2006,1,1,5,4,Lunes,23,99,99
200601249999,2006,1,1,5,4,Martes,24,99,99
200601259999,2006,1,1,5,4,Miércoles,25,99,99
200601269999,2006,1,1,5,4,Jueves,26,99,99
200601279999,2006,1,1,5,4,Viernes,27,99,99
200601289999,2006,1,1,5,4,Sábado,28,99,99
200601299999,2006,1,1,5,4,Domingo,29,99,99
200601309999,2006,1,1,6,5,Lunes,30,99,99
200601319999,2006,1,1,6,5,Martes,31,99,99
200602019999,2006,1,2,1,5,Miércoles,1,99,99
200602029999,2006,1,2,1,5,Jueves,2,99,99
200602039999,2006,1,2,1,5,Viernes,3,99,99
200602049999,2006,1,2,1,5,Sábado,4,99,99
200602059999,2006,1,2,1,5,Domingo,5,99,99
200602069999,2006,1,2,2,6,Lunes,6,99,99
200602079999,2006,1,2,2,6,Martes,7,99,99
200602089999,2006,1,2,2,6,Miércoles,8,99,99
200602099999,2006,1,2,2,6,Jueves,9,99,99
200602109999,2006,1,2,2,6,Viernes,10,99,99
200602119999,2006,1,2,2,6,Sábado,11,99,99
200602129999,2006,1,2,2,6,Domingo,12,99,99
200602139999,2006,1,2,3,7,Lunes,13,99,99
200602149999,2006,1,2,3,7,Martes,14,99,99
200602159999,2006,1,2,3,7,Miércoles,15,99,99
200602169999,2006,1,2,3,7,Jueves,16,99,99
200602179999,2006,1,2,3,7,Viernes,17,99,99
200602189999,2006,1,2,3,7,Sábado,18,99,99
200602199999,2006,1,2,3,7,Domingo,19,99,99
200602209999,2006,1,2,4,8,Lunes,20,99,99
200602219999,2006,1,2,4,8,Martes,21,99,99
200602229999,2006,1,2,4,8,Miércoles,22,99,99
200602239999,2006,1,2,4,8,Jueves,23,99,99
200602249999,2006,1,2,4,8,Viernes,24,99,99
200602259999,2006,1,2,4,8,Sábado,25,99,99
200602269999,2006,1,2,4,8,Domingo,26,99,99
200602279999,2006,1,2,5,9,Lunes,27,99,99
200602289999,2006,1,2,5,9,Martes,28,99,99
200603019999,2006,1,3,1,9,Miércoles,1,99,99
200603029999,2006,1,3,1,9,Jueves,2,99,99
200603039999,2006,1,3,1,9,Viernes,3,99,99
200603049999,2006,1,3,1,9,Sábado,4,99,99
200603059999,2006,1,3,1,9,Domingo,5,99,99
200603069999,2006,1,3,2,10,Lunes,6,99,99
200603079999,2006,1,3,2,10,Martes,7,99,99
200603089999,2006,1,3,2,10,Miércoles,8,99,99
200603099999,2006,1,3,2,10,Jueves,9,99,99
200603109999,2006,1,3,2,10,Viernes,10,99,99
200603119999,2006,1,3,2,10,Sábado,11,99,99
200603129999,2006,1,3,2,10,Domingo,12,99,99
200603139999,2006,1,3,3,11,Lunes,13,99,99
200603149999,2006,1,3,3,11,Martes,14,99,99
